,HEK-HMEC-MULTI,HMEC-orig-MULTI,HMEC-rep-MULTI,J293t-dm,cline-ch,hm-12k,hm-6k,mkidney-ch,nuc-MULTI,pbmc-1A-dm,pbmc-1B-dm,pbmc-1C-dm,pbmc-2ctrl-dm,pbmc-2stim-dm,pbmc-ch,pdx-MULTI,DOGMAseq1-RNA-ch,DOGMAseq-DIG-RNA-ch
scDblFinder,0.476313345,0.482674909,0.592839638,0.198193634,0.422334806,0.948895236,0.966227037,0.610885356,0.424195756,0.500526433,0.424121667,0.573233886,0.684279272,0.673103922,0.642585428,0.433306675,0.718027107,0.754971567
vaeda,0.505540379,0.4996167,0.59836478,0.20599698,0.402572048,0.975656876,0.972819139,0.584035682,0.443720118,0.517625308,0.37811336,0.521060037,0.654545537,0.635470625,0.612309514,0.413623888,0.73232735,0.769797191
DoubletFinder,0.476566503,0.395823458,0.604768985,0.23142988,0.38254093,0.989091346,0.990826881,0.46055171,0.445703947,0.489228322,0.228712914,0.540702437,0.601289223,0.644970749,0.606746018,0.39422907,0.715760193,0.760881442
hybrid,0.457826247,0.431839708,0.585225103,0.164147166,0.391422679,0.958282788,0.989994692,0.605907483,0.374953376,0.385976816,0.226374493,0.413212892,0.585863296,0.595379591,0.612019097,0.368161092,0.720356747,0.740548292
solo,0.455482003,0.265598156,0.581217568,0.151450214,0.410640471,0.985529521,0.992927292,0.637948561,0.203059582,0.331527745,0.189072563,0.459872153,0.669666318,0.678713777,0.646432035,0.376390495,0.737922481,0.769679443
bcds,0.330548097,0.384619705,0.574843247,0.113958169,0.390471312,0.604461828,0.627255841,0.612681003,0.359347789,0.401111387,0.319410082,0.493832491,0.610930367,0.63627397,0.585365241,0.408304369,0.703443425,0.729244515
Scrublet,0.460323918,0.400573096,0.48551238,0.239335273,0.380719752,0.927263652,0.965898268,0.544664855,0.351436572,0.258661477,0.221029655,0.306176783,0.568678835,0.542132655,0.532393582,0.253821612,0.56793414,0.581028934
cxds,0.514029624,0.363447175,0.54852357,0.189456646,0.332087824,0.997696961,1,0.549103455,0.367388993,0.272687677,0.15572619,0.305516529,0.503112546,0.459011378,0.556092808,0.254960352,0.656722816,0.671511124
RADO,0.497043899,0.463274411,0.610396749,0.237156437,0.410628044,0.978305984,0.99789042,0.623560604,0.463340988,0.490234568,0.383184148,0.56764244,0.691080138,0.701931584,0.649551375,0.448950417,0.726988909,0.786462549
